"Site","City","gentrifying","mean_19","mu","sd"
"A09-WCP1","ioio",FALSE,0.235873859346946,10.868,1.13579663972093
"A10-ACT1","ioio",FALSE,0.0239884725274618,11.1738,1.40113746550417
"A10-GIL1","ioio",FALSE,-0.155677548011365,14.5054,1.27369356560352
"A10-HHP1","ioio",FALSE,-0.0440561409974843,12.7926,1.17756637711617
"A10-HPR1","ioio",TRUE,-0.115502900740121,12.7522,1.38028120150897
"ALP","jams",FALSE,0.0186571609153555,4.2838,1.07400570652652
"BAP","jams",TRUE,0.233083422455832,3.4798,1.10518606906233
"BGP","jams",FALSE,-0.0833971044628405,3.4436,1.11672219181439
"BOP","jams",FALSE,-7.97801331847703e-06,8.1578,1.02504112203383
"BRP","jams",FALSE,-0.147847860844398,5.852,1.21226643852892
"CHS","jams",TRUE,0.149904136490733,5.5128,1.65456449760514
"CLN","jams",FALSE,0.00861783783088954,7.1516,1.01332265570297
"CON","jams",FALSE,0.0548245450216965,6.3932,0.614710772531907
"CRN","jams",FALSE,-0.0160427047363075,4.726,1.20565945562774
"FOP","jams",TRUE,0.0994477661455975,4.861,1.64372119408152
"FRP","jams",TRUE,0.137670342171108,7.533,1.38985515053472
"GAS","jams",TRUE,0.29579929330299,2.6752,1.1837166878267
"GRC","jams",FALSE,0.339035093647225,5.3096,1.06206093736986
"GRN","jams",FALSE,-0.258269305798527,10.712,1.16932863896048
"LAC1","jams",FALSE,-0.189744549757787,8.5182,1.31621246121157
"LAC2","jams",FALSE,-0.0918768060088875,2.7578,0.835750474586257
"LAP","jams",TRUE,-0.0759288665671465,9.545,1.41575982255997
"LEN","jams",TRUE,-0.160797367577053,11.5218,1.31159018514273
